label,series_id,date,value
"Total Nonfarm, NE",SMS31000000000000001,2024-10-01,1078.1
"Total Nonfarm, NE",SMS31000000000000001,2024-09-01,1075.9
"Total Nonfarm, NE",SMS31000000000000001,2024-08-01,1072.7
"Total Nonfarm, NE",SMS31000000000000001,2024-07-01,1071.6
"Total Nonfarm, NE",SMS31000000000000001,2024-06-01,1069.4
"Total Nonfarm, NE",SMS31000000000000001,2024-05-01,1069.1
"Total Nonfarm, NE",SMS31000000000000001,2024-04-01,1065.4
"Total Nonfarm, NE",SMS31000000000000001,2024-03-01,1062.5
"Total Nonfarm, NE",SMS31000000000000001,2024-02-01,1061.1
"Total Nonfarm, NE",SMS31000000000000001,2024-01-01,1057.9
"Labor Force Participation, NC",LASST370000000000008,2024-10-01,60.1
"Labor Force Participation, NC",LASST370000000000008,2024-09-01,60.2
"Labor Force Participation, NC",LASST370000000000008,2024-08-01,60.3
"Labor Force Participation, NC",LASST370000000000008,2024-07-01,60.4
"Labor Force Participation, NC",LASST370000000000008,2024-06-01,60.5
"Labor Force Participation, NC",LASST370000000000008,2024-05-01,60.5
"Labor Force Participation, NC",LASST370000000000008,2024-04-01,60.6
"Labor Force Participation, NC",LASST370000000000008,2024-03-01,60.6
"Labor Force Participation, NC",LASST370000000000008,2024-02-01,60.7
"Labor Force Participation, NC",LASST370000000000008,2024-01-01,60.7
"Unemployment Rate, NE",LASST310000000000003,2024-10-01,2.7
"Unemployment Rate, NE",LASST310000000000003,2024-09-01,2.7
"Unemployment Rate, NE",LASST310000000000003,2024-08-01,2.7
"Unemployment Rate, NE",LASST310000000000003,2024-07-01,2.6
"Unemployment Rate, NE",LASST310000000000003,2024-06-01,2.6
"Unemployment Rate, NE",LASST310000000000003,2024-05-01,2.5
"Unemployment Rate, NE",LASST310000000000003,2024-04-01,2.5
"Unemployment Rate, NE",LASST310000000000003,2024-03-01,2.5
"Unemployment Rate, NE",LASST310000000000003,2024-02-01,2.5
"Unemployment Rate, NE",LASST310000000000003,2024-01-01,2.5
"Gross Job Losses, AL",BDS0000001000000000110004LQ5,2024-03-01,94618.0
