series_id,label,date,value
SMS31000000000000001,"Total Nonfarm, NE",2024-10-01,1078.1
SMS31000000000000001,"Total Nonfarm, NE",2024-09-01,1075.9
SMS31000000000000001,"Total Nonfarm, NE",2024-08-01,1072.7
SMS31000000000000001,"Total Nonfarm, NE",2024-07-01,1071.6
SMS31000000000000001,"Total Nonfarm, NE",2024-06-01,1069.4
SMS31000000000000001,"Total Nonfarm, NE",2024-05-01,1069.1
SMS31000000000000001,"Total Nonfarm, NE",2024-04-01,1065.4
SMS31000000000000001,"Total Nonfarm, NE",2024-03-01,1062.5
SMS31000000000000001,"Total Nonfarm, NE",2024-02-01,1061.1
SMS31000000000000001,"Total Nonfarm, NE",2024-01-01,1057.9
LASST370000000000008,"Labor Force Participation, NC",2024-10-01,60.1
LASST370000000000008,"Labor Force Participation, NC",2024-09-01,60.2
LASST370000000000008,"Labor Force Participation, NC",2024-08-01,60.3
LASST370000000000008,"Labor Force Participation, NC",2024-07-01,60.4
LASST370000000000008,"Labor Force Participation, NC",2024-06-01,60.5
LASST370000000000008,"Labor Force Participation, NC",2024-05-01,60.5
LASST370000000000008,"Labor Force Participation, NC",2024-04-01,60.6
LASST370000000000008,"Labor Force Participation, NC",2024-03-01,60.6
LASST370000000000008,"Labor Force Participation, NC",2024-02-01,60.7
LASST370000000000008,"Labor Force Participation, NC",2024-01-01,60.7
LASST310000000000003,"Unemployment Rate, NE",2024-10-01,2.7
LASST310000000000003,"Unemployment Rate, NE",2024-09-01,2.7
LASST310000000000003,"Unemployment Rate, NE",2024-08-01,2.7
LASST310000000000003,"Unemployment Rate, NE",2024-07-01,2.6
LASST310000000000003,"Unemployment Rate, NE",2024-06-01,2.6
LASST310000000000003,"Unemployment Rate, NE",2024-05-01,2.5
LASST310000000000003,"Unemployment Rate, NE",2024-04-01,2.5
LASST310000000000003,"Unemployment Rate, NE",2024-03-01,2.5
LASST310000000000003,"Unemployment Rate, NE",2024-02-01,2.5
LASST310000000000003,"Unemployment Rate, NE",2024-01-01,2.5
BDS0000001000000000110004LQ5,"Gross Job Losses, AL",2024-03-01,94618.0
