series_id,value,date
LASST370000000000008,60.1,2024 October
LASST370000000000008,60.2,2024 September
LASST370000000000008,60.3,2024 August
LASST370000000000008,60.4,2024 July
LASST370000000000008,60.5,2024 June
LASST370000000000008,60.5,2024 May
LASST370000000000008,60.6,2024 April
LASST370000000000008,60.6,2024 March
LASST370000000000008,60.7,2024 February
LASST370000000000008,60.7,2024 January
LASST370000000000008,60.7,2023 December
LASST370000000000008,60.8,2023 November
LASST370000000000008,60.9,2023 October
LASST370000000000008,61.0,2023 September
LASST370000000000008,61.1,2023 August
LASST370000000000008,61.1,2023 July
LASST370000000000008,61.1,2023 June
LASST370000000000008,61.1,2023 May
LASST370000000000008,61.1,2023 April
LASST370000000000008,61.1,2023 March
LASST370000000000008,61.0,2023 February
LASST370000000000008,61.0,2023 January
LASST370000000000008,60.9,2022 December
LASST370000000000008,60.9,2022 November
LASST370000000000008,61.0,2022 October
LASST370000000000008,61.0,2022 September
LASST370000000000008,61.1,2022 August
LASST370000000000008,61.2,2022 July
LASST370000000000008,61.3,2022 June
LASST370000000000008,61.3,2022 May
LASST370000000000008,61.3,2022 April
LASST370000000000008,61.3,2022 March
LASST370000000000008,61.3,2022 February
LASST370000000000008,61.2,2022 January
